alpha,scale,algo,seed,log_path,cmd
0.2,T500,CCHIHH_Full,10,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.2\T500\CCHIHH_Full_seed10.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 10 --alpha 0.2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
0.8,T500,CCHIHH_Full,1,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.8\T500\CCHIHH_Full_seed1.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 1 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
0.8,T500,CCHIHH_Full,2,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.8\T500\CCHIHH_Full_seed2.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 2 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
0.8,T500,CCHIHH_Full,3,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.8\T500\CCHIHH_Full_seed3.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 3 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
0.8,T500,CCHIHH_Full,4,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.8\T500\CCHIHH_Full_seed4.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 4 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
0.8,T500,CCHIHH_Full,5,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.8\T500\CCHIHH_Full_seed5.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 5 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
0.8,T500,CCHIHH_Full,6,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.8\T500\CCHIHH_Full_seed6.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 6 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
0.8,T500,CCHIHH_Full,7,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.8\T500\CCHIHH_Full_seed7.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 7 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
0.8,T500,CCHIHH_Full,8,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.8\T500\CCHIHH_Full_seed8.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 8 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
0.8,T500,CCHIHH_Full,9,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.8\T500\CCHIHH_Full_seed9.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 9 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
0.8,T500,CCHIHH_Full,10,C:\Users\Hu\Desktop\CED_schedule_Final\outputs\results\alpha_sensitivity_cga_imoma_dsac\runs\alpha_0.8\T500\CCHIHH_Full_seed10.txt,'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 10 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
