Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation_tmp_20260206\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5 --cchihh_no_migration
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: disabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"
Gen 1200: best_fit = 1831.82
Gen 1250: best_fit = 1824.24
Gen 1300: best_fit = 1805.05
Gen 1350: best_fit = 1804.83
Gen 1400: best_fit = 1804.83
Gen 1450: best_fit = 1794.35
Gen 1500: best_fit = 1778.72
Gen 1550: best_fit = 1778.47
Gen 1600: best_fit = 1778.47
Gen 1650: best_fit = 1778.47
Gen 1700: best_fit = 1778.47
Gen 1750: best_fit = 1778.47
Gen 1800: best_fit = 1778.47
Gen 1850: best_fit = 1778.47
Gen 1900: best_fit = 1778.47
Gen 1950: best_fit = 1778.47
Gen 2000: best_fit = 1778.47
Gen 2050: best_fit = 1778.47
Gen 2100: best_fit = 1778.47
Gen 2150: best_fit = 1778.47
Gen 2200: best_fit = 1778.47
Gen 2250: best_fit = 1778.47
Gen 2300: best_fit = 1778.47
Gen 2350: best_fit = 1778.47
Gen 2400: best_fit = 1778.47
Gen 2450: best_fit = 1778.47
Gen 2500: best_fit = 1778.47
Gen 2550: best_fit = 1778.47
Gen 2600: best_fit = 1778.47
Gen 2650: best_fit = 1778.47
Gen 2700: best_fit = 1778.47
Gen 2750: best_fit = 1778.47
Gen 2800: best_fit = 1778.47
Gen 2850: best_fit = 1778.47
Gen 2900: best_fit = 1778.47
Gen 2950: best_fit = 1735.16
Gen 3000: best_fit = 1734.26
Gen 3050: best_fit = 1734.26
Gen 3100: best_fit = 1734.26
Gen 3150: best_fit = 1734.26
Gen 3200: best_fit = 1734.26
Gen 3250: best_fit = 1734.26
Gen 3300: best_fit = 1734.26
Gen 3350: best_fit = 1734.26
Gen 3400: best_fit = 1734.26
Gen 3450: best_fit = 1734.26
Gen 3500: best_fit = 1734.26
Gen 3550: best_fit = 1734.26
Gen 3600: best_fit = 1734.26
Gen 3650: best_fit = 1734.26
Gen 3700: best_fit = 1734.26
Gen 3750: best_fit = 1734.26
Gen 3800: best_fit = 1734.26
Gen 3850: best_fit = 1734.26
Gen 3900: best_fit = 1734.26
Gen 3950: best_fit = 1734.26
Gen 4000: best_fit = 1734.26
Gen 4050: best_fit = 1734.26
Gen 4100: best_fit = 1734.26
Gen 4150: best_fit = 1734.26
Gen 4200: best_fit = 1734.26
Gen 4250: best_fit = 1734.26
Gen 4300: best_fit = 1734.26
Gen 4350: best_fit = 1734.26
Gen 4400: best_fit = 1734.26
Gen 4450: best_fit = 1734.26
Gen 4500: best_fit = 1734.26
Gen 4550: best_fit = 1734.26
Gen 4600: best_fit = 1734.26
Gen 4650: best_fit = 1734.26
Gen 4700: best_fit = 1734.26
Gen 4750: best_fit = 1734.26
Gen 4800: best_fit = 1734.26
Gen 4850: best_fit = 1734.26
Gen 4900: best_fit = 1734.26
Gen 4950: best_fit = 1734.26
Gen 5000: best_fit = 1734.26
Gen 5050: best_fit = 1734.26
Gen 5100: best_fit = 1734.26
Gen 5150: best_fit = 1734.26
Gen 5200: best_fit = 1734.26
Gen 5250: best_fit = 1734.26
Gen 5300: best_fit = 1734.26
Gen 5350: best_fit = 1734.26
Gen 5400: best_fit = 1734.26
Gen 5450: best_fit = 1734.26
Gen 5500: best_fit = 1734.26
Gen 5550: best_fit = 1734.26
Gen 5600: best_fit = 1734.26
Gen 5650: best_fit = 1734.26
Gen 5700: best_fit = 1734.26
Gen 5750: best_fit = 1734.26
Gen 5800: best_fit = 1734.26
Gen 5850: best_fit = 1732.72
Gen 5900: best_fit = 1732.72
Gen 5950: best_fit = 1731.82
Gen 6000: best_fit = 1725.01
Gen 6050: best_fit = 1723.57
Gen 6100: best_fit = 1723.57
Gen 6150: best_fit = 1723.57
Gen 6200: best_fit = 1721.91
Gen 6250: best_fit = 1711.66
Gen 6300: best_fit = 1702.06
Gen 6350: best_fit = 1701.33
Gen 6400: best_fit = 1701.33
Gen 6450: best_fit = 1701.33
Gen 6500: best_fit = 1701.33
Gen 6550: best_fit = 1701.33
Gen 6600: best_fit = 1701.33
Gen 6650: best_fit = 1701.33
Gen 6700: best_fit = 1701.33
Gen 6750: best_fit = 1701.33
Gen 6800: best_fit = 1701.33
Gen 6850: best_fit = 1701.33
Gen 6900: best_fit = 1701.33
Gen 6950: best_fit = 1701.33
Gen 7000: best_fit = 1701.33
Gen 7050: best_fit = 1701.33
Gen 7100: best_fit = 1701.33
Gen 7150: best_fit = 1701.33
Gen 7200: best_fit = 1701.33
Gen 7250: best_fit = 1701.33
Gen 7300: best_fit = 1701.33
Gen 7350: best_fit = 1701.33
Gen 7400: best_fit = 1701.33
Gen 7450: best_fit = 1701.33
Gen 7500: best_fit = 1701.33
Gen 7550: best_fit = 1701.33
Gen 7600: best_fit = 1701.33
Gen 7650: best_fit = 1701.33
Gen 7700: best_fit = 1701.33
Gen 7750: best_fit = 1701.33
Gen 7800: best_fit = 1701.33
Gen 7850: best_fit = 1701.33
Gen 7900: best_fit = 1701.33
Gen 7950: best_fit = 1699.48
Gen 8000: best_fit = 1699.48
Gen 8050: best_fit = 1681.37
Gen 8100: best_fit = 1680.68
Gen 8150: best_fit = 1679.86
Gen 8200: best_fit = 1672.48
Gen 8250: best_fit = 1664.43
Gen 8300: best_fit = 1662.79
Gen 8350: best_fit = 1661.36
Gen 8400: best_fit = 1660.22
Gen 8450: best_fit = 1660.11
Gen 8500: best_fit = 1660.11
Gen 8550: best_fit = 1660.11
Gen 8600: best_fit = 1660.11
Gen 8650: best_fit = 1660.11
Gen 8700: best_fit = 1660.11
Gen 8750: best_fit = 1660.11
Gen 8800: best_fit = 1660.11
Gen 8850: best_fit = 1658.24
Gen 8900: best_fit = 1649.69
Gen 8950: best_fit = 1616.82
Gen 9000: best_fit = 1614.37
Gen 9050: best_fit = 1612.96
Gen 9100: best_fit = 1612.37
Gen 9150: best_fit = 1612.37
Gen 9200: best_fit = 1612.37
Gen 9250: best_fit = 1612.37
Gen 9300: best_fit = 1612.37
Gen 9350: best_fit = 1612.37
Gen 9400: best_fit = 1612.37
Gen 9450: best_fit = 1612.37
Gen 9500: best_fit = 1608.93
Gen 9550: best_fit = 1607.91
Gen 9600: best_fit = 1600.91
Gen 9650: best_fit = 1599.64
Gen 9700: best_fit = 1597.32
Gen 9750: best_fit = 1595.06
Gen 9800: best_fit = 1594.4
Gen 9850: best_fit = 1588.23
Gen 9900: best_fit = 1586.44
Gen 9950: best_fit = 1569.17
Gen 10000: best_fit = 1567.32

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 1567.32
Time = 295.443 s

exit code 0
